date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
04/09/2016,15:29:47,MULI FloorPlan,192.168.1.51,Server,preview,999,5097,0,5296,53365,4,0,1,3,2,0
04/09/2016,15:29:51,MULI FloorPlan,192.168.1.51,Server,preview,999,9051,0,5296,29027,4,0,1,3,2,0
04/09/2016,15:29:53,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,10705,-1,0,5296,4,0,1,3,2,0
04/09/2016,15:29:55,MULI FloorPlan,192.168.1.51,Server,setActivity,999,13016,0,,,4,0,1,3,2,0
04/09/2016,15:29:57,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,881,-1,0,5296,4,0,1,3,2,0
04/09/2016,15:29:59,MULI FloorPlan,192.168.1.51,Server,setActivity,999,2605,3,,,4,0,1,3,2,0
04/09/2016,15:30:06,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,2826,-1,0,5296,4,0,1,3,2,0
04/09/2016,15:30:08,MULI FloorPlan,192.168.1.51,Server,setActivity,999,4659,3,,,4,0,1,3,2,0
04/09/2016,15:31:29,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,3179,-1,0,4425,4,0,1,3,2,0
04/09/2016,15:31:30,MULI FloorPlan,192.168.1.51,Server,setActivity,999,3853,1,,,4,0,1,3,2,0
04/09/2016,15:36:31,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,2779,,0,4690,4,0,1,3,2,0
04/09/2016,15:36:32,MULI FloorPlan,192.168.1.51,Server,setActivity,999,3390,1,,,4,0,1,3,2,0
04/09/2016,15:38:38,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,3224,,0,5940,4,0,1,3,2,0
04/09/2016,15:38:39,MULI FloorPlan,192.168.1.51,Server,setActivity,999,3928,1,,,4,0,1,3,2,0
04/09/2016,15:41:17,MULI FloorPlan,192.168.1.51,Server,newPolygon,999,2085,,0,5069,2,2,3,,,0
04/09/2016,15:41:17,MULI FloorPlan,192.168.1.51,Server,setActivity,999,2856,3,,,2,2,3,,,0
