date,time,event,sender,recipient,function,ID,duration,activity,CT,DimLevel,Number of Areas,Area1,Area2,Area3,Area4,Interaction ID
03/11/16,09:01:33,MULI Pointer,2,Server,setLight,,,,2144,3084,1,3,,,,
03/11/16,09:01:34,MULI Pointer,2,Server,setLight,,,,2144,3084,1,2,,,,
03/11/16,09:01:37,MULI Pointer,2,Server,setLight,,,,2144,3084,1,1,,,,
03/11/16,09:01:37,MULI Pointer,2,Server,setLight,,,,2144,3084,1,0,,,,
03/11/16,09:01:44,MULI Pointer,2,Server,setLight,,,,2811,7710,1,0,,,,
03/11/16,09:01:45,MULI Pointer,2,Server,setLight,,,,2811,7710,1,1,,,,
03/11/16,09:01:47,MULI Pointer,2,Server,setLight,,,,2811,7710,1,3,,,,
03/11/16,09:01:48,MULI Pointer,2,Server,setLight,,,,2811,7710,1,2,,,,
03/11/16,10:34:14,MULI Pointer,3,Server,setLight,,,,4714,41120,1,1,,,,
03/11/16,10:34:19,MULI Pointer,3,Server,setLight,,,,4788,41634,1,3,,,,
03/11/16,10:34:21,MULI Pointer,3,Server,setLight,,,,4788,41634,1,2,,,,
03/11/16,10:34:22,MULI Pointer,3,Server,setLight,,,,4788,41634,1,0,,,,
03/11/16,12:37:59,MULI Pointer,3,Server,setLight,,,,7580,61423,1,1,,,,
03/11/16,12:38:27,MULI Pointer,3,Server,setLight,,,,7580,61423,1,3,,,,
03/11/16,12:38:28,MULI Pointer,3,Server,setLight,,,,7580,61423,1,3,,,,
03/11/16,12:38:31,MULI Pointer,3,Server,setLight,,,,7580,61423,1,2,,,,
03/11/16,12:38:56,MULI Pointer,3,Server,setLight,,,,7555,61166,1,0,,,,
03/11/16,13:35:31,MULI Pointer,3,Server,setLight,,,,3355,61423,1,1,,,,
03/11/16,13:35:44,MULI Pointer,3,Server,setLight,,,,1774,61423,1,1,,,,
03/11/16,13:35:46,MULI Pointer,3,Server,setLight,,,,1774,61423,1,1,,,,
03/11/16,13:35:48,MULI Pointer,3,Server,setLight,,,,7604,61423,1,1,,,,
03/11/16,14:49:17,MULI Pointer,3,Server,setLight,,,,7604,61423,1,1,,,,
03/11/16,14:49:19,MULI Pointer,3,Server,setLight,,,,4170,61166,1,1,,,,
03/11/16,14:49:23,MULI Pointer,3,Server,setLight,,,,5504,61166,1,1,,,,
03/11/16,14:49:26,MULI Pointer,3,Server,setLight,,,,5504,61166,1,1,,,,
03/11/16,14:49:31,MULI Pointer,3,Server,setLight,,,,1700,61166,1,1,,,,
03/11/16,14:49:34,MULI Pointer,3,Server,setLight,,,,1700,61166,1,1,,,,
03/11/16,14:49:48,MULI Pointer,3,Server,setLight,,,,7580,61423,1,1,,,,
